Temps(s);Force(kN);Contrainte(Mpa);Ouverture vanne (%);Consigne.Consigne;Consigne.Vitesse
0,043546;67,74104813;6,778659687;2,2;67,73551834;5,99596834
0,242527;67,92001374;6,796568282;2,24857876;68,93329096;5,99596834
0,442324;67,93112404;6,79768006;2,301465585;70,12924081;5,99596834
0,642371;68,30226952;6,834819563;2,358754198;71,32868031;5,99596834
0,842324;69,19846758;6,924499629;2,418826317;72,52753221;5,99596834
1,04231;70,51044971;7,055786059;2,47996046;73,72725352;5,99596834
1,243309;72,10397283;7,215245518;2,540899798;74,94019595;5,99596834
1,44235;73,48231642;7,353172557;2,599403317;76,12540702;5,99596834
1,677251;75,32411959;7,537476716;2,59995729;76,12540702;5,99596834
1,877342;76,70447969;7,67560554;2,707741253;78,70353549;5,99596834
2,077258;77,97508515;7,802751522;2,754240943;79,90301697;5,99596834
2,277278;79,67813643;7,973171162;2,800201887;81,10206074;5,99596834
2,47766;80,95385808;8,100829106;2,844839072;82,30158418;5,99596834
2,677335;82,35120177;8,240657431;2,88878268;83,50060997;5,99596834
2,877343;83,58821143;8,364441573;2,932444384;84,69936593;5,99596834
3,077359;85,01200769;8,506916934;2,975780637;85,89867352;5,99596834
3,27735;86,48352862;8,654167972;3,018250661;87,09811302;5,99596834
3,477308;87,71248258;8,777146002;3,060249109;88,2974386;5,99596834
3,677441;88,823815;8,88835397;3,102072333;89,4961406;5,99596834
3,877355;89,74136955;8,980171121;3,144155469;90,69576598;5,99596834
4,077315;90,76668501;9,082771608;3,186976736;91,89506158;5,99596834
4,27731;91,80460192;9,186633088;3,230511931;93,09364366;5,99596834
4,477374;92,9795008;9,304201976;3,274514213;94,2928673;5,99596834
4,677365;93,70326175;9,376626736;3,319057521;95,49270854;5,99596834
4,877254;94,70965615;9,477333846;3,365115947;96,69181826;5,99596834
5,077334;95,87734813;9,594181559;3,41185356;97,8906042;5,99596834
5,27733;97,74507402;9,781079733;3,457459551;99,09016962;5,99596834
5,477349;99,06764875;9,913426135;3,501746399;100,2890575;5,99596834
5,677373;100,5372581;10,06048588;3,545486407;101,4883171;5,99596834
5,877312;101,65312;10,1721471;3,588695804;102,6877506;5,99596834
6,077334;103,0769104;10,31462188;3,631687437;103,8868124;5,99596834
6,277333;104,2981581;10,43682876;3,674263682;105,0856043;5,99596834
6,477416;105,3803539;10,54512111;3,716624037;106,2850378;5,99596834
6,678061;106,5678477;10,66395034;3,759157058;107,4842735;5,99596834
6,882323;107,7197438;10,7792174;3,80188894;108,743181;5,99596834
7,082329;108,8105235;10,88836872;3,844921215;109,9424886;5,99596834
7,282352;110,2346018;11,0308723;3,888170214;111,1417782;5,99596834
7,482302;111,3022741;11,13771132;3,931144895;112,3413436;5,99596834
7,682534;112,2557971;11,23312773;3,974360644;113,5400276;5,99596834
7,882315;113,3783112;11,34545462;4,018198495;114,7398089;5,99596834
8,082462;114,619585;11,46966546;4,062312801;115,938289;5,99596834
8,282303;115,6808467;11,57586299;4,106567701;117,1381003;5,99596834
8,48236;117,0402934;11,71189907;4,150910019;118,3369222;5,99596834
8,682359;118,4112151;11,84908343;4,197063872;119,5369253;5,99596834
8,88235;119,4422319;11,95225442;4,241091694;120,7437579;5,99596834
9,082356;121,4814033;12,15630868;4,284812546;121,9358403;5,99596834
9,28231;121,9630657;12,20450731;4,32745833;123,133487;5,99596834
9,482275;123,175015;12,32578373;4,371056522;124,3330884;5,99596834
9,682552;124,4261766;12,45098401;4,414672471;125,5340629;5,99596834
9,882315;125,5946727;12,56791219;4,458042024;126,7316916;5,99596834
10,082307;126,86316;12,69484622;4,501590996;127,9308733;5,99596834
10,282281;127,9578265;12,80438648;4,544947049;129,129995;5,99596834
10,482433;129,190187;12,92770538;4,588476626;130,3298842;5,99596834
10,682335;130,7195235;13,08074186;4,631447435;131,5290119;5,99596834
10,885643;131,6572669;13,17457925;4,672561051;132,6806575;5,99596834
11,08233;132,9456214;13,30350133;4,716963458;133,9266497;5,99596834
11,282268;134,2484405;13,43387085;4,759365919;135,1259154;5,99596834
11,482338;135,3307333;13,5421729;4,80200187;136,3248632;5,99596834
11,691245;136,3019791;13,63936279;4,842691008;137,4639293;5,99596834
11,887347;137,5577466;13,76502397;4,888334495;138,783504;5,99596834
12,087289;138,9622801;13,90557177;4,931727168;139,9823679;5,99596834
12,287409;139,863648;13,99576917;4,974840174;141,1818314;5,99596834
12,487745;142,0383771;14,2133883;5,019445137;142,3807852;5,99596834
12,692475;142,5333;14,26291387;5,060817495;143,5254935;5,99596834
12,892327;143,7724539;14,38691257;5,102891341;144,7790946;5,99596834
13,092276;145,2208796;14,53185254;5,145574768;145,9781084;5,99596834
13,292394;146,0397252;14,61379216;5,187889073;147,1777098;5,99596834
13,492317;147,3294436;14,74285072;5,231197227;148,3766996;5,99596834
13,692314;148,5202038;14,8620068;5,273947456;149,576361;5,99596834
13,892301;149,57611;14,96766843;5,316996418;150,774931;5,99596834
14,092552;151,563566;15,16654766;5,36090684;151,9744545;5,99596834
14,292295;152,0906581;15,21929231;5,404884988;153,1733304;5,99596834
14,492266;153,314626;15,3417714;5,448001705;154,3729258;5,99596834
14,692402;154,8364998;15,49406111;5,490659487;155,5719336;5,99596834
14,892336;155,9601812;15,60650481;5,532839998;156,7711932;5,99596834
15,095392;157,1539141;15,72595836;5,573085694;157,9104751;5,99596834
15,292364;158,0715324;15,81778189;5,617206786;159,1697604;5,99596834
15,492378;159,0166048;15,91235268;5,66069404;160,3687442;5,99596834
15,692309;160,9068637;16,10150566;5,704386237;161,5682137;5,99596834
15,892386;162,0575956;16,21665623;5,746310364;162,7668258;5,99596834
16,092318;163,099798;16,32094655;5,788360633;163,9662293;5,99596834
16,292313;164,2596147;16,4370062;5,830517827;165,165285;5,99596834
16,492362;165,4832933;16,55945634;5,873137574;166,3648145;5,99596834
16,697655;166,6064008;16,67184262;5,916582618;167,5901865;5,99596834
16,89727;167,9489734;16,80619015;5,958416162;168,7633577;5,99596834
17,097335;169,1386675;16,92523955;5,999896332;169,9621317;5,99596834
17,297323;170,5825468;17,06972457;6,039610259;171,1612414;5,99596834
17,497283;171,921476;17,20370751;6,079111442;172,3608008;5,99596834
17,697302;172,9996901;17,31160143;6,11854613;173,5601744;5,99596834
17,897299;174,3636363;17,44808776;6,157107964;174,7592481;5,99596834
18,097268;175,4958119;17,56138144;6,195901501;175,9584778;5,99596834
18,297414;176,6753453;17,67941409;6,235085713;177,1577674;5,99596834
18,497318;177,7777404;17,78972773;6,274467729;178,3565593;5,99596834
18,697296;178,8695812;17,89898523;6,313645857;179,5555911;5,99596834
18,897344;180,0475959;18,0168659;6,353450009;180,7551685;5,99596834
19,09736;181,5903446;18,17124451;6,393394445;181,954542;5,99596834
19,298385;182,5806337;18,27034001;6,432583823;183,1531241;5,99596834
19,497291;183,7037443;18,38272658;6,472266709;184,3529234;5,99596834
19,697308;184,9109396;18,50352728;6,511841879;185,5520331;5,99596834
19,897288;185,7254636;18,58503444;6,551892932;186,7510169;5,99596834
20,097294;186,9760707;18,71017925;6,592747752;187,9499348;5,99596834
20,297316;188,1832587;18,83097922;6,633350604;189,1491644;5,99596834
20,497305;189,3295307;18,94568349;6,674101889;190,348424;5,99596834
20,697287;190,6355347;19,07637171;6,714806374;191,5475517;5,99596834
20,901221;191,957789;19,20868604;6,754981663;192,7471291;5,99596834
21,097398;193,0655282;19,31953445;6,79575875;194,0060966;5,99596834
21,297306;194,3082799;19,44389319;6,836238174;195,2053263;5,99596834
21,497256;195,6202625;19,57517966;6,876512545;196,4042681;5,99596834
21,697329;196,8901062;19,70224942;6,916992062;197,6038155;5,99596834
21,897459;197,8718375;19,80048856;6,956326175;198,8028773;5,99596834
22,102292;198,8597902;19,89935026;6,997917307;200,0024367;5,99596834
22,302278;200,6531702;20,07880884;7,037006874;201,2009528;5,99596834
22,50227;201,7352669;20,18709127;7,076309453;202,4007221;5,99596834
22,702262;202,9824647;20,31189491;7,115795663;203,5998738;5,99596834
22,902356;204,2369798;20,43743077;7,154462116;204,7989116;5,99596834
23,102268;205,6937548;20,58320622;7,192933748;205,9982552;5,99596834
23,302346;207,2005515;20,73398721;7,231172612;207,197113;5,99596834
23,502314;207,9101263;20,80499241;7,269829962;208,3961388;5,99596834
23,708025;210,1770652;21,03183872;7,308356568;209,5471669;5,99596834
23,912525;210,4886497;21,06301812;7,347621911;210,7960012;5,99596834
24,112281;211,4346811;21,15768487;7,386145719;212,0541952;5,99596834
24,312319;213,0470799;21,31903317;7,425127316;213,2528732;5,99596834
24,512332;214,2744202;21,44184973;7,463339564;214,4522108;5,99596834
24,712325;215,2991063;21,54438724;7,501637222;215,6512665;5,99596834
24,91277;216,5841114;21,67297415;7,540101952;216,7923053;5,99596834
25,114392;217,73012;21,78765206;7,57648879;217,9302381;5,99596834
25,312286;219,0648495;21,92121477;7,618538747;219,2493572;5,99596834
25,513635;220,4038953;22,05520938;7,657054666;220,4643862;5,99596834
25,712395;221,1486445;22,12973438;7,693678482;221,6475826;5,99596834
25,912378;222,5028628;22,26524726;7,73212453;222,8468063;5,99596834
26,112356;223,8358239;22,398633;7,770525025;224,045946;5,99596834
26,318083;224,8848493;22,50360607;7,808509687;225,2448398;5,99596834
26,517295;226,0828037;22,62348206;7,847641177;226,4442793;5,99596834
26,717338;227,8608601;22,80140726;7,886430378;227,643491;5,99596834
26,917362;228,5690609;22,87227496;7,924219681;228,8424628;5,99596834
27,11732;229,6541619;22,98085803;7,962664861;230,0421781;5,99596834
27,317375;230,9478034;23,11030916;8,001114311;231,2412699;5,99596834
27,517273;231,9663125;23,21222855;8,039722928;232,4400918;5,99596834
27,717546;233,1368912;23,32936513;8,079150181;233,6417498;5,99596834
27,918442;234,6427615;23,48005341;8,117949862;234,8716668;5,99596834
28,117373;235,6932764;23,58517554;8,154809251;236,0375769;5,99596834
28,31731;236,8724246;23,70316964;8,193332422;237,2373941;5,99596834
28,52381;238,5679803;23,87283922;8,231986068;238,4369116;5,99596834
28,722325;239,4747221;23,96357437;8,271422161;239,6951175;5,99596834
28,922342;240,5405131;24,07022514;8,30970455;240,894563;5,99596834
29,122269;242,0770472;24,22398186;8,347383312;242,0939126;5,99596834
29,326343;243,1485916;24,33120835;8,383452078;243,2332365;5,99596834
29,52227;244,0412745;24,42053666;8,423809651;244,492246;5,99596834
29,722294;245,1600629;24,53249073;8,462469384;245,6916315;5,99596834
29,928302;246,4737806;24,66395083;8,500947109;246,8907053;5,99596834
30,129056;248,4687707;24,86358398;8,541175436;248,1317868;5,99596834
30,327865;248,8014592;24,89687521;8,578144909;249,2960539;5,99596834
30,5273;250,1965637;25,03647947;8,615973233;250,4883462;5,99596834
30,727807;251,8840941;25,20534597;8,653930157;251,6871442;5,99596834
30,927369;252,7783295;25,29482964;8,691364403;252,8865717;5,99596834
31,133095;254,0557643;25,42265901;8,729070019;254,0858793;5,99596834
31,332256;254,906747;25,50781451;8,769061954;255,3451226;5,99596834
31,532288;256,0251015;25,61972515;8,807674318;256,5437826;5,99596834
31,732313;257,4710113;25,76441335;8,846836696;257,7431381;5,99596834
31,932274;258,4319314;25,86056997;8,885749648;258,9427216;5,99596834
32,132333;259,5780059;25,97525449;8,925067012;260,1416754;5,99596834
32,332328;261,2040638;26,13796961;8,963585962;261,3407132;5,99596834
32,53226;262,1862474;26,23625402;9,001645404;262,5402786;5,99596834
32,732323;264,3514279;26,45291765;9,039986266;263,7391005;5,99596834
32,932273;264,796097;26,49741446;9,077228322;264,9386659;5,99596834
33,132337;265,9745421;26,61533821;9,115116214;266,1375478;5,99596834
33,332269;267,6461012;26,78260651;9,152059448;267,3364776;5,99596834
33,532257;268,6147585;26,87953737;9,187580933;268,5362469;5,99596834
33,732916;270,2526333;27,04343498;9,223503044;269,740825;5,99596834
33,932308;271,0036162;27,11858377;9,25861546;270,9342445;5,99596834
34,132339;272,491923;27,26751452;9,293982127;272,1335821;5,99596834
34,332314;273,3468476;27,35306447;9,328787151;273,3326918;5,99596834
34,532257;274,4632009;27,46477486;9,364512858;274,5321493;5,99596834
34,732324;275,8788964;27,6064396;9,400581111;275,7311031;5,99596834
34,932298;276,9774414;27,71636797;9,436349764;276,9300929;5,99596834
35,132331;278,1365992;27,83236169;9,471753065;278,1294785;5,99596834
35,332304;279,2111582;27,93988984;9,507797506;279,3290439;5,99596834
35,532345;280,232129;28,04205557;9,544136256;280,5280277;5,99596834
35,732341;281,6149392;28,18042957;9,58060335;281,7269456;5,99596834
35,932277;282,6860394;28,28761161;9,617248779;282,9266249;5,99596834
