#!SbcSavedTrendFile;Version_4;Html5Runtime_V3.0;
#!SBC trends log file generated on: 19.02.2025 15:23:01;
6;
TA_Salle_de_Reunion	0	5000	255,0,0;
CO_Salle_de_Reunion	0	5000	0,64,0;
DBS_Salle_de_Reunion	0	5000	0,0,128;
DBE_Salle_de_Reunion	0	5000	128,0,128;
TA_Vestiaires_H	0	5000	255,255,0;
TA_Vestiaires_F	0	5000	255,128,128;

#!(s);Date;Time;TA_Salle_de_Reunion;CO_Salle_de_Reunion;DBS_Salle_de_Reunion;DBE_Salle_de_Reunion;TA_Vestiaires_H;TA_Vestiaires_F;
1739145947;10.02.2025;00:05:47;15.6;384;0;47;20;19.3;
1739146850;10.02.2025;00:20:50;15.6;384;0;47;20;19.3;
1739147752;10.02.2025;00:35:52;15.6;384;0;47;20;19.3;
1739148655;10.02.2025;00:50:55;15.7;384;0;47;20;19.3;
1739149558;10.02.2025;01:05:58;15.7;384;0;47;20;19.3;
1739150461;10.02.2025;01:21:01;15.7;384;0;47;20;19.3;
1739151364;10.02.2025;01:36:04;15.7;384;0;47;20;19.3;
1739152266;10.02.2025;01:51:06;15.7;384;0;47;20;19.3;
1739153169;10.02.2025;02:06:09;15.8;384;0;47;20;19.3;
1739154072;10.02.2025;02:21:12;15.7;384;0;47;20;19.3;
1739154975;10.02.2025;02:36:15;15.7;384;0;47;20;19.3;
1739155879;10.02.2025;02:51:19;15.7;384;0;47;20;19.3;
1739156781;10.02.2025;03:06:21;18.3;384;0;180;20;19.3;
1739157684;10.02.2025;03:21:24;19.6;384;0;166;20;19.3;
1739158587;10.02.2025;03:36:27;19.9;384;0;180;20;19.3;
1739159490;10.02.2025;03:51:30;19.9;384;0;166;20;19.3;
1739160392;10.02.2025;04:06:32;19.8;384;0;148;20;19.3;
1739161295;10.02.2025;04:21:35;19.7;384;0;158;20;19.3;
1739162198;10.02.2025;04:36:38;19.5;384;0;173;20;19.3;
1739163100;10.02.2025;04:51:40;19.4;384;0;140;20;19.3;
1739164003;10.02.2025;05:06:43;19.3;384;0;166;20;19.3;
1739164906;10.02.2025;05:21:46;19.2;384;0;148;20;19.3;
1739165808;10.02.2025;05:36:48;19.2;384;0;148;20;19.3;
1739166711;10.02.2025;05:51:51;19.1;384;0;158;19.9;19.3;
1739167614;10.02.2025;06:06:54;19.1;384;0;166;20;19.3;
1739168516;10.02.2025;06:21:56;19.1;384;0;151;20;19.3;
1739169419;10.02.2025;06:36:59;19;384;0;187;20;19.4;
1739170322;10.02.2025;06:52:02;19;384;0;205;20;19.4;
1739171225;10.02.2025;07:07:05;19.2;384;0;180;20;19.4;
1739172127;10.02.2025;07:22:07;19.1;384;0;173;20;19.4;
1739173030;10.02.2025;07:37:10;19.1;384;0;187;20;19.4;
1739173933;10.02.2025;07:52:13;19.1;384;0;158;20;19.4;
1739174835;10.02.2025;08:07:15;19.1;384;0;158;20;19.4;
1739175738;10.02.2025;08:22:18;19.1;384;0;194;20;19.4;
1739176641;10.02.2025;08:37:21;19;384;0;158;20;19.4;
1739177543;10.02.2025;08:52:23;19;384;0;166;20;19.4;
1739178446;10.02.2025;09:07:26;19.1;384;0;173;20;19.4;
1739179349;10.02.2025;09:22:29;19.2;384;0;166;20.2;19.4;
1739180252;10.02.2025;09:37:32;19;384;0;158;20.2;19.5;
1739181154;10.02.2025;09:52:34;19;384;0;173;20.1;19.4;
1739182057;10.02.2025;10:07:37;19;384;0;187;20.1;19.4;
1739182960;10.02.2025;10:22:40;19.1;384;0;173;20.1;19.4;
1739183863;10.02.2025;10:37:43;19;384;0;194;20.1;19.5;
1739184765;10.02.2025;10:52:45;19;384;0;180;20.2;19.5;
1739185668;10.02.2025;11:07:48;19.1;384;0;187;20.2;19.5;
1739186571;10.02.2025;11:22:51;19.2;384;0;166;20.2;19.5;
1739187474;10.02.2025;11:37:54;19.2;384;0;158;20.2;19.5;
1739188376;10.02.2025;11:52:56;19.1;384;0;126;20.2;19.5;
1739189279;10.02.2025;12:07:59;19.1;384;0;173;20.6;19.5;
1739190182;10.02.2025;12:23:02;19.1;384;0;166;20.4;19.5;
1739191085;10.02.2025;12:38:05;19.2;384;0;173;20.4;19.5;
1739191987;10.02.2025;12:53:07;19.4;384;0;220;20.3;19.5;
1739192890;10.02.2025;13:08:10;19.3;384;0;148;20.3;19.5;
1739193793;10.02.2025;13:23:13;19.1;384;0;158;20.3;19.5;
1739194695;10.02.2025;13:38:15;19.3;384;0;198;20.3;19.5;
1739195598;10.02.2025;13:53:18;19.1;384;0;173;20.2;19.5;
1739196501;10.02.2025;14:08:21;19.2;384;0;158;20.2;19.5;
1739197404;10.02.2025;14:23:24;19.1;384;0;166;20.2;19.5;
1739198306;10.02.2025;14:38:26;19.1;384;0;158;20.2;19.5;
1739199209;10.02.2025;14:53:29;19.3;384;0;173;20.6;19.5;
1739200112;10.02.2025;15:08:32;19.4;384;0;187;20.3;19.5;
1739201015;10.02.2025;15:23:35;19.4;384;0;158;20.3;19.6;
1739201917;10.02.2025;15:38:37;19.4;384;0;180;20.3;19.5;
1739202820;10.02.2025;15:53:40;19.1;384;0;180;20.2;19.6;
1739203723;10.02.2025;16:08:43;19.2;384;0;166;20.2;19.5;
1739204625;10.02.2025;16:23:45;19.2;384;0;205;20.2;19.6;
1739205528;10.02.2025;16:38:48;19.1;384;0;166;20.3;19.6;
1739206431;10.02.2025;16:53:51;18.8;384;0;180;20.3;19.6;
1739207333;10.02.2025;17:08:53;18.6;384;0;166;20.3;19.6;
1739208236;10.02.2025;17:23:56;19.3;384;0;187;20.3;19.6;
1739209139;10.02.2025;17:38:59;19.3;384;0;198;20.2;19.7;
1739210042;10.02.2025;17:54:02;19.4;384;0;173;20.3;19.6;
1739210944;10.02.2025;18:09:04;19.3;384;0;158;20.3;19.7;
1739211847;10.02.2025;18:24:07;19.4;384;0;198;20.3;19.7;
1739212750;10.02.2025;18:39:10;15;384;0;47;20.2;19.6;
1739213652;10.02.2025;18:54:12;14.9;384;0;47;20.2;19.6;
1739214555;10.02.2025;19:09:15;14.9;384;0;47;20.2;19.6;
1739215458;10.02.2025;19:24:18;15;384;0;54;20.2;19.6;
1739216361;10.02.2025;19:39:21;15.3;384;0;47;20.1;19.6;
1739217264;10.02.2025;19:54:24;15.4;384;0;47;20.1;19.5;
1739218166;10.02.2025;20:09:26;15.5;384;0;47;20.1;19.5;
1739219069;10.02.2025;20:24:29;15.4;384;0;47;20.1;19.7;
1739219972;10.02.2025;20:39:32;15.4;384;0;47;20.1;19.7;
1739220875;10.02.2025;20:54:35;15.5;384;0;47;20.1;19.6;
1739221777;10.02.2025;21:09:37;15.4;384;0;47;20.1;19.6;
1739222680;10.02.2025;21:24:40;15.5;384;0;47;20.1;19.6;
1739223583;10.02.2025;21:39:43;15.5;384;0;47;20.1;19.5;
1739224486;10.02.2025;21:54:46;15.4;384;0;47;20.1;19.5;
1739225388;10.02.2025;22:09:48;15.5;384;0;47;20.1;19.5;
1739226291;10.02.2025;22:24:51;15.4;384;0;47;20.1;19.5;
1739227194;10.02.2025;22:39:54;15.4;384;0;47;20.1;19.5;
1739228097;10.02.2025;22:54:57;15.4;384;0;47;20.1;19.5;
1739228999;10.02.2025;23:09:59;15.4;384;0;47;20.1;19.5;
1739229902;10.02.2025;23:25:02;15.4;384;0;47;20.1;19.5;
1739230805;10.02.2025;23:40:05;15.5;384;0;47;20.1;19.5;
1739231708;10.02.2025;23:55:08;15.5;384;0;47;20.1;19.5;
1739232611;11.02.2025;00:10:11;15.4;384;0;47;20.1;19.5;
1739233513;11.02.2025;00:25:13;15.4;384;0;47;20.1;19.5;
1739234416;11.02.2025;00:40:16;15.5;384;0;47;20.1;19.5;
1739235319;11.02.2025;00:55:19;15.5;384;0;47;20.1;19.5;
1739236222;11.02.2025;01:10:22;15.5;384;0;47;20.1;19.5;
1739237124;11.02.2025;01:25:24;15.4;384;0;47;20.1;19.5;
1739238027;11.02.2025;01:40:27;15.5;384;0;47;20;19.4;
1739238930;11.02.2025;01:55:30;15.5;384;0;47;20;19.5;
1739239833;11.02.2025;02:10:33;15.5;384;0;47;20;19.5;
1739240735;11.02.2025;02:25:35;15.5;384;0;47;20;19.4;
1739241638;11.02.2025;02:40:38;15.5;384;0;47;20;19.5;
1739242541;11.02.2025;02:55:41;15.6;384;0;47;20;19.4;
1739243444;11.02.2025;03:10:44;19;384;0;173;20;19.4;
1739244346;11.02.2025;03:25:46;19.8;384;0;180;20;19.5;
1739245249;11.02.2025;03:40:49;20;384;0;187;20;19.4;
1739246151;11.02.2025;03:55:51;20.1;384;0;194;20;19.4;
1739247054;11.02.2025;04:10:54;19.9;384;0;180;20;19.4;
1739247957;11.02.2025;04:25:57;19.8;384;0;166;20;19.4;
1739248860;11.02.2025;04:41:00;19.7;384;0;180;20;19.4;
1739249762;11.02.2025;04:56:02;19.5;384;0;173;20;19.4;
1739250665;11.02.2025;05:11:05;19.4;384;0;187;20;19.4;
1739251568;11.02.2025;05:26:08;19.2;384;0;158;20;19.4;
1739252470;11.02.2025;05:41:10;19.1;384;0;148;20;19.4;
1739253373;11.02.2025;05:56:13;19.2;384;0;140;19.9;19.4;
1739254276;11.02.2025;06:11:16;19.1;384;0;205;19.9;19.4;
1739255178;11.02.2025;06:26:18;18.9;384;0;205;19.9;19.4;
1739256081;11.02.2025;06:41:21;18.9;384;0;180;19.9;19.4;
1739256984;11.02.2025;06:56:24;19.2;384;0;173;19.9;19.4;
1739257887;11.02.2025;07:11:27;19.2;384;0;173;19.9;19.4;
1739258790;11.02.2025;07:26:30;19.2;384;0;173;19.9;19.4;
1739259693;11.02.2025;07:41:33;19.2;384;0;187;20;19.4;
1739260596;11.02.2025;07:56:36;19.1;384;0;151;20;19.4;
1739261499;11.02.2025;08:11:39;19.1;384;0;180;20;19.4;
1739262401;11.02.2025;08:26:41;19;384;0;158;20;19.4;
1739263304;11.02.2025;08:41:44;19.2;384;0;187;20;19.4;
1739264207;11.02.2025;08:56:47;19.1;384;0;180;20;19.4;
1739265109;11.02.2025;09:11:49;19.3;384;0;148;20;19.4;
1739266012;11.02.2025;09:26:52;19.2;384;0;166;20;19.4;
1739266915;11.02.2025;09:41:55;19.2;384;0;180;20;19.4;
1739267817;11.02.2025;09:56:57;19.2;384;0;173;20;19.4;
1739268720;11.02.2025;10:12:00;19.2;384;0;151;20.1;19.4;
1739269623;11.02.2025;10:27:03;19.2;384;0;158;20;19.4;
1739270525;11.02.2025;10:42:05;19.4;384;0;198;20;19.4;
1739271428;11.02.2025;10:57:08;19.4;384;0;173;20;19.4;
1739272331;11.02.2025;11:12:11;19.5;384;0;187;20;19.4;
1739273234;11.02.2025;11:27:14;19.4;384;0;187;20.2;19.5;
1739274136;11.02.2025;11:42:16;19.8;384;0;173;20.1;19.4;
1739275039;11.02.2025;11:57:19;19.9;384;0;180;20.1;19.5;
1739275942;11.02.2025;12:12:22;20;384;0;166;20.1;19.4;
1739276844;11.02.2025;12:27:24;20;384;0;173;20.3;19.5;
1739277747;11.02.2025;12:42:27;20.3;384;0;194;20.2;19.5;
1739278650;11.02.2025;12:57:30;20.1;384;0;187;20.2;19.4;
1739279553;11.02.2025;13:12:33;20.1;384;0;198;20.2;19.5;
1739280455;11.02.2025;13:27:35;20.1;384;0;180;20.2;19.5;
1739281358;11.02.2025;13:42:38;20.2;384;0;198;20.2;19.5;
1739282261;11.02.2025;13:57:41;20.5;384;0;173;20.1;19.4;
1739283164;11.02.2025;14:12:44;20.4;384;0;151;20.1;19.5;
1739284066;11.02.2025;14:27:46;20.4;384;0;151;20.3;19.5;
1739284969;11.02.2025;14:42:49;20.3;384;0;166;20.2;19.5;
